3:01.190	3:02.190	3:00.380	3:00.720	3:01.370
3:02.640	3:03.470	3:01.830	3:00.740	3:02.555
3:02.670	3:05.260	3:02.180	3:03.110	3:03.075
3:03.890	3:05.280	3:02.960	3:03.280	3:03.590
3:04.240	3:05.400	3:03.070	3:03.780	3:04.185
3:04.390	3:05.630	3:03.250	3:03.830	3:04.435
3:05.060	3:05.840	3:03.340	3:03.900	3:04.865
3:05.130	3:06.350	3:03.420	3:04.380	3:05.200
3:05.200	3:06.510	3:03.740	3:04.600	3:05.245
3:05.760	3:06.670	3:04.240	3:04.630	3:05.765
3:05.810	3:06.870	3:04.240	3:04.980	3:05.980
3:05.860	3:06.920	3:04.460	3:05.160	3:06.135
3:06.120	3:07.030	3:04.590	3:05.400	3:06.275
3:06.120	3:07.080	3:04.750	3:05.590	3:06.285
3:06.240	3:07.410	3:04.780	3:05.720	3:06.365
3:06.510	3:07.750	3:04.990	3:05.810	3:06.505
3:06.570	3:07.820	3:05.180	3:05.970	3:06.765
3:06.600	3:07.840	3:05.230	3:06.000	3:06.840
3:06.680	3:07.880	3:05.380	3:06.180	3:06.965
3:06.940	3:08.000	3:05.480	3:06.180	3:07.125
3:07.020	3:08.120	3:05.510	3:06.280	3:07.255
3:07.120	3:08.210	3:05.590	3:06.350	3:07.320
3:07.190	3:08.220	3:05.720	3:06.360	3:07.445
3:07.210	3:08.230	3:05.730	3:06.490	3:07.545
3:07.460	3:08.260	3:05.750	3:06.550	3:07.885
3:07.480	3:08.420	3:05.780	3:06.690	3:07.965
3:07.800	3:08.460	3:06.030	3:07.000	3:08.125
3:07.800	3:08.510	3:06.040	3:07.210	3:08.145
3:08.270	3:08.550	3:06.060	3:07.300	3:08.235
3:08.270	3:08.610	3:06.090	3:07.380	3:08.305
3:08.390	3:08.640	3:06.170	3:07.650	3:08.420
3:08.390	3:08.670	3:06.180	3:07.690	3:08.530
3:08.420	3:08.760	3:06.220	3:08.130	3:08.700
3:08.500	3:08.840	3:06.230	3:08.170	3:08.805
3:08.600	3:08.870	3:06.280	3:08.240	3:08.885
3:08.630	3:08.980	3:06.300	3:08.260	3:08.980
3:08.670	3:09.100	3:06.320	3:08.420	3:09.050
3:08.680	3:09.160	3:06.370	3:08.450	3:09.070
3:08.890	3:09.230	3:06.480	3:08.470	3:09.155
3:08.950	3:09.250	3:06.510	3:08.510	3:09.195
3:08.970	3:09.360	3:06.580	3:08.520	3:09.260
3:09.340	3:09.450	3:06.610	3:08.530	3:09.390
3:09.520	3:09.460	3:06.680	3:08.720	3:09.445
3:09.640	3:09.560	3:06.720	3:08.720	3:09.555
3:09.660	3:09.560	3:06.880	3:08.890	3:09.560
3:09.670	3:09.670	3:06.930	3:08.930	3:09.640
3:09.790	3:09.860	3:07.090	3:08.930	3:09.675
3:09.790	3:09.890	3:07.190	3:09.000	3:09.785
3:09.870	3:09.900	3:07.210	3:09.040	3:09.850
3:09.890	3:09.980	3:07.250	3:09.190	3:09.905
3:10.020	3:10.370	3:07.290	3:09.200	3:09.975
3:10.030	3:10.420	3:07.360	3:09.250	3:10.010
3:10.170	3:10.530	3:07.360	3:09.280	3:10.080
3:10.210	3:10.580	3:07.400	3:09.390	3:10.090
3:10.280	3:10.580	3:07.420	3:09.440	3:10.140
3:10.450	3:10.660	3:07.440	3:09.580	3:10.200
3:10.480	3:10.680	3:07.470	3:10.180	3:10.270
3:10.650	3:10.960	3:07.470	3:10.200	3:10.370
3:10.660	3:10.970	3:07.490	3:10.220	3:10.390
3:10.680	3:11.030	3:07.510	3:10.230	3:10.430
3:10.750	3:11.070	3:07.510	3:10.250	3:10.545
3:10.860	3:11.160	3:07.630	3:10.310	3:10.595
3:10.890	3:11.190	3:07.640	3:10.370	3:10.640
3:10.920	3:11.240	3:07.640	3:10.380	3:10.700
3:10.930	3:11.270	3:07.660	3:10.400	3:10.785
3:11.060	3:11.280	3:07.670	3:10.450	3:10.815
3:11.170	3:11.310	3:07.680	3:10.480	3:10.940
3:11.240	3:11.310	3:07.780	3:10.490	3:10.985
3:11.280	3:11.460	3:07.810	3:10.530	3:11.005
3:11.330	3:11.570	3:07.830	3:10.530	3:11.110
3:11.340	3:11.630	3:07.950	3:10.590	3:11.160
3:11.370	3:11.640	3:07.950	3:10.610	3:11.195
3:11.370	3:11.690	3:07.970	3:10.730	3:11.220
3:11.400	3:11.710	3:08.000	3:10.790	3:11.265
3:11.400	3:11.860	3:08.030	3:10.810	3:11.300
3:11.470	3:11.870	3:08.060	3:10.830	3:11.355
3:11.480	3:11.870	3:08.130	3:11.030	3:11.395
3:11.590	3:11.900	3:08.130	3:11.050	3:11.455
3:11.600	3:11.910	3:08.430	3:11.060	3:11.475
3:11.680	3:11.920	3:08.460	3:11.090	3:11.540
3:11.700	3:11.920	3:08.460	3:11.130	3:11.555
3:11.920	3:11.940	3:08.490	3:11.210	3:11.690
3:11.920	3:12.030	3:08.490	3:11.250	3:11.690
3:12.070	3:12.070	3:08.550	3:11.310	3:11.780
3:12.200	3:12.130	3:08.580	3:11.320	3:11.855
3:12.310	3:12.260	3:08.580	3:11.330	3:11.925
3:12.370	3:12.260	3:08.590	3:11.350	3:11.925
3:12.380	3:12.270	3:08.610	3:11.420	3:11.950
3:12.480	3:12.280	3:08.660	3:11.510	3:11.970
3:12.480	3:12.300	3:08.740	3:11.550	3:12.070
3:12.490	3:12.310	3:08.740	3:11.620	3:12.135
3:12.540	3:12.320	3:08.750	3:11.640	3:12.165
3:12.550	3:12.340	3:08.820	3:11.700	3:12.200
3:12.600	3:12.350	3:08.840	3:11.730	3:12.345
3:12.630	3:12.360	3:08.890	3:11.880	3:12.355
